File,Accent,VoiceNum,Stim,Text
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s40.wav,CH,04,40,WE LOOKED AT THE STORY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s41.wav,CH,04,41,THIS IS HER FAVORITE SPORT
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s44.wav,CH,04,44,MOM LOOKED AT HER FEET
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s46.wav,CH,04,46,HE READ ABOUT THE TREES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s48.wav,CH,04,48,MOM TALKED ABOUT THE PIE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s5.wav,CH,04,5,WE POINTED AT THE BIRD
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s50.wav,CH,04,50,HE LOOKED AT THE SLEEVES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s51.wav,CH,04,51,THIS IS HER FAVORITE TIME
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s52.wav,CH,04,52,THERE ARE MANY DAYS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s55.wav,CH,04,55,HE TALKED ABOUT THE DINNER
